X,Y,OBJECTID,RTE,RTE_SFX,DIST,CNTY,PM_PFX,POSTMILE,PM_SFX,LEG,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,TRK_2_AXLE,TRK_2_AXLE_PCT,TRK_3_AXLE,TRK_3_AXLE_PCT,TRK_4_AXLE,TRK_4_AXLE_PCT,TRK_5_AXLE,TRK_5_AXLE_PCT,EAL,EST_VER_YEAR,EST_VER_CODE
-117.876549746,33.7787584180001,530,5,,12,ORA,,34,,B,"SANTA ANA, JCT. RTES. 22 AND 57, GARDEN GROVE/ORANGE FREEWAYS",213100,14917,7,6601,44.25,1459,9.78,649,4.35,6207,41.61,"2,602",19,E
-117.875908884,33.778769815,531,5,,12,ORA,,34,,A,"SANTA ANA, JCT. RTES. 22 AND 57, GARDEN GROVE/ORANGE FREEWAYS",179000,12530,7,6653,53.1,1604,12.8,777,6.2,3496,27.9,"1,701",19,E
-117.876549746,33.7787584180001,532,5,,12,ORA,,34,,A,"SANTA ANA, JCT. RTES. 22 AND 57, GARDEN GROVE/ORANGE FREEWAYS",179000,12530,7,6653,53.1,1604,12.8,777,6.2,3496,27.9,"1,701",19,E
-117.886635063,33.7888888730001,533,5,,12,ORA,,34.942,,A,"ORANGE, CHAPMAN AVENUE",159900,12792,8,7010,54.8,1650,12.9,831,6.5,3300,25.8,"1,658",19,E
-117.88715206,33.788820705,534,5,,12,ORA,,34.942,,A,"ORANGE, CHAPMAN AVENUE",159900,12792,8,7010,54.8,1650,12.9,831,6.5,3300,25.8,"1,658",19,E
-117.901583623,33.8031253620001,535,5,,12,ORA,,36.258,,B,KATELLA AVENUE,144000,12240,8.5,7711,63,1016,8.3,588,4.8,2925,23.9,"1,459",19,E
-117.902491935,33.803137975,536,5,,12,ORA,,36.258,,B,KATELLA AVENUE,144000,12240,8.5,7711,63,1016,8.3,588,4.8,2925,23.9,"1,459",19,E
-117.901583623,33.8031253620001,537,5,,12,ORA,,36.258,,A,KATELLA AVENUE,176500,14120,8,8740,61.9,1172,8.3,847,6,3361,23.8,"1,698",19,E
-117.902491935,33.803137975,538,5,,12,ORA,,36.258,,A,KATELLA AVENUE,176500,14120,8,8740,61.9,1172,8.3,847,6,3361,23.8,"1,698",19,E
-117.93184859,33.832379071,539,5,,12,ORA,,38.915,,B,LINCOLN AVENUE,216600,19494,9,12028,61.7,1599,8.2,1170,6,4698,24.1,"2,361",19,E
-117.932374268,33.832293086,540,5,,12,ORA,,38.915,,B,LINCOLN AVENUE,216600,19494,9,12028,61.7,1599,8.2,1170,6,4698,24.1,"2,361",19,E
-117.93184859,33.832379071,541,5,,12,ORA,,38.915,,A,LINCOLN AVENUE,206900,18621,9,11601,62.3,1583,8.5,1117,6,4320,23.2,"2,206",19,E
-117.932374268,33.832293086,542,5,,12,ORA,,38.915,,A,LINCOLN AVENUE,206900,18621,9,11601,62.3,1583,8.5,1117,6,4320,23.2,"2,206",19,E
-117.998165667,33.8665526400001,543,5,,12,ORA,,43.43,,O,"JCT. RTE. 39; BEACH BOULEVARD",213400,20273,9.5,9283,45.79,1523,7.51,995,4.91,8472,41.79,"3,534",19,E
-117.998161711,33.8660827790001,544,5,,12,ORA,,43.43,,O,"JCT. RTE. 39; BEACH BOULEVARD",213400,20273,9.5,9283,45.79,1523,7.51,995,4.91,8472,41.79,"3,534",19,E
-118.011466421,33.8748738410001,545,5,,7,LA,,0,,A,ORANGE/LOS ANGELES COUNTY LINE,160000,12960,8.1,6297,48.59,966,7.45,632,4.88,5065,39.08,"2,150",11,E
